                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 1.0076,                 1.0706,                  1.372,                0.47357,                0.35938,                0.35908,                0.14986,                 2.0237,                 2.3633,                 2.4958,              0.0003632,              0.0003632,              0.0003632
                    126,                 1.0628,                 1.0616,                 1.4231,                0.59534,                0.32031,                0.36283,                0.15706,                  2.051,                 2.3299,                 2.4986,                0.00035,                0.00035,                0.00035
                    127,                 1.0059,                  1.059,                  1.363,                0.55404,                0.36719,                0.37531,                0.16312,                 2.0392,                 2.2654,                 2.4225,              0.0003368,              0.0003368,              0.0003368
                    128,                 1.1099,                 1.1366,                 1.4305,                0.59228,                0.33594,                0.36874,                0.16659,                  2.046,                 2.2699,                 2.4081,              0.0003236,              0.0003236,              0.0003236
                    129,                0.99726,                 1.0076,                 1.3442,                0.47408,                0.39844,                0.38321,                0.17103,                 2.0281,                 2.2366,                 2.4264,              0.0003104,              0.0003104,              0.0003104
                    130,                 1.0088,                 1.0483,                 1.3901,                0.52343,                0.39844,                 0.3851,                 0.1775,                 2.0329,                 2.1875,                 2.4504,              0.0002972,              0.0002972,              0.0002972
                    131,                0.97973,                 1.0004,                 1.3605,                0.62818,                0.35938,                0.37347,                0.16999,                 2.0456,                 2.2003,                 2.4572,               0.000284,               0.000284,               0.000284
                    132,                0.97855,                0.99325,                 1.3207,                0.51039,                  0.375,                0.37642,                0.17045,                 2.0641,                 2.2311,                 2.4442,              0.0002708,              0.0002708,              0.0002708
                    133,                0.99248,                 0.9853,                 1.3434,                0.51289,                  0.375,                0.37745,                0.16884,                 2.0549,                 2.2354,                 2.4265,              0.0002576,              0.0002576,              0.0002576
                    134,                 1.0433,                 1.0516,                 1.3748,                0.52484,                0.35938,                0.37683,                0.17903,                 2.0301,                  2.176,                 2.3893,              0.0002444,              0.0002444,              0.0002444
                    135,                 1.0347,                 1.0649,                 1.4054,                0.49975,                0.39844,                0.38692,                0.18302,                 2.0282,                 2.1539,                 2.3991,              0.0002312,              0.0002312,              0.0002312
                    136,                  0.991,                 1.0296,                 1.3727,                0.53187,                  0.375,                0.39161,                0.18628,                  2.001,                 2.1641,                   2.39,               0.000218,               0.000218,               0.000218
                    137,                  1.038,                 1.0942,                 1.3738,                0.56521,                0.41406,                0.41212,                0.18913,                 2.0026,                 2.1857,                 2.3885,              0.0002048,              0.0002048,              0.0002048
                    138,                0.99253,                 1.0513,                 1.3636,                 0.5798,                0.42969,                0.41527,                0.19384,                 2.0149,                 2.1502,                 2.3891,              0.0001916,              0.0001916,              0.0001916
                    139,                  1.056,                 1.0431,                 1.3801,                0.55467,                0.42969,                0.40904,                0.18752,                 2.0309,                 2.1768,                  2.387,              0.0001784,              0.0001784,              0.0001784
                    140,                 1.0119,                 1.0073,                 1.3445,                0.52443,                0.42188,                0.40504,                0.18082,                 2.0038,                 2.1803,                 2.3493,              0.0001652,              0.0001652,              0.0001652
                    141,                 1.0334,                 1.2999,                 1.5006,                0.48687,                0.42188,                0.38756,                0.17443,                 2.0023,                 2.1736,                 2.3173,               0.000152,               0.000152,               0.000152
                    142,                0.84162,                0.94285,                 1.3139,                0.55525,                0.41406,                0.38836,                 0.1835,                 1.9968,                   2.12,                 2.3254,              0.0001388,              0.0001388,              0.0001388
                    143,                0.89999,                0.97477,                 1.3754,                0.54723,                0.40625,                0.38634,                0.17769,                 1.9982,                 2.1469,                 2.3385,              0.0001256,              0.0001256,              0.0001256
                    144,                0.85421,                0.91733,                  1.349,                0.56534,                0.42188,                0.39743,                0.17574,                  2.028,                 2.1878,                 2.3849,              0.0001124,              0.0001124,              0.0001124
                    145,                0.83529,                0.79812,                 1.3457,                0.64974,                  0.375,                0.40051,                0.17214,                 2.0523,                 2.2116,                 2.4093,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.85927,                0.89562,                 1.3395,                0.69435,                  0.375,                0.40383,                0.17324,                 2.0474,                 2.2065,                 2.3861,                8.6e-05,                8.6e-05,                8.6e-05
